,sent_src,score_src,sum_src,sent_tgt,score_tgt,sum_tgt,score_diff,sum_diff,diff_pos
3,"With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.",[1 1 0 1 0],3,Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.,[1 1 0 0 0],2,1,-1,3
7,"""Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools,"" he told The Sun.",[0 0 0 1 0],1,He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.,[0 0 0 0 0],0,1,-1,3
11,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.",[1 0 0 0 0],1,A federal magistrate in Fort Lauderdale ordered him held without bail.,[0 0 0 0 0],0,1,-1,0
23,"Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.",[0 1 0 0 1],2,Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.,[0 1 0 0 0],1,1,1,4
27,Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.,[1 1 1 0 0],3,Results from No. 2 U.S. soft drink maker PepsiCo Inc.PEP.N were likely to be in the spotlight.,[1 1 0 0 0],2,1,-1,2
34,The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance.,[0 1 0 0 0],1,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president's appearance, Crosby said.",[0 0 0 0 0],0,1,1,1
35,Several of the questions asked by the audience in the fast-paced forum were new to the candidates.,[0 1 1 0 0],2,Several of the audience questions were new to the candidates as well.,[0 1 0 0 0],1,1,1,2
38,"The downtime, to take place in May and June, is expected to cut production by 60 million to 70 million board feet.",[0 1 0 0 1],2,The downtime is expected to take 60 million to 70 million board feet out of the companys system.,[0 1 0 0 0],1,1,1,4
47,"Based on experience elsewhere, it could take up to two years before regular elections are held, he added.",[0 0 0 1 0],1,"U.S. military officials have said it could take up to two years before regular elections are held, based on experiences elsewhere in the world.",[0 0 0 0 0],0,1,1,3
51,A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations.,[0 0 1 0 0],1,"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday.",[0 0 0 0 0],0,1,-1,2
66,Fewer than a dozen FBI agents were dispatched to secure and analyze evidence.,[1 1 0 0 0],2,Fewer than a dozen FBI agents will be sent to Iraq to secure and analyze evidence of the bombing.,[0 1 0 0 0],1,1,1,0
72,Physicians who violate the ban would be subject to fines and up to two years in prison.,[0 1 0 0 0],1,"Physicians who perform the procedure would face up to two years in prison, under the bill.",[0 0 0 0 0],0,1,1,1
